Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
PRAMEF10,O60809,NP_001034450,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TTPA,P49638,NP_000361,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PRKCA,P17252,NP_002728,2,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark), Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/prkca/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GRHL2,Q6ISB3,NP_079191,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,Mod,"Homology model (PDB template, reconstruction)",True,Mod_Q6ISB3.pdb,
SIRPB1,O00241,NP_006056,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HDAC1,Q13547,NP_004955,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP3K14,Q99558,NP_003945,0,"Philipp Becker (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
EXT1,Q16394,NP_000118,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CLTCL1,P53675,NP_009029,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
BRCA1,P38398,NP_009225,2,"Pablo Sanchez-Izquierdo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/brca1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FAM86B2,P0C5J1,NP_001131082,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LMO3,Q8TAP4,NP_061110,0,"Subhayan Akhuli (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ACTRT1,Q8TDG2,NP_612146,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TUBA3E,Q6PEY2,NP_997195,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IFNA10,P01566,NP_002162,0,"Alicia Llorente (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ANXA3,P12429,NP_005130,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RPS6KC1,Q96S38,NP_036556,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SLC1A7,O00341,NP_006662,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDX2,Q99626,NP_001256,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GNA13,Q14344,NP_006563,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PPARG,P37231,NP_056953,2,"Kristine Degn (DTU, Denmark, DCI, Denmark), Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pparg/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
N4BP2,Q86UW6,NP_060647,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ABL1,P00519,NP_005148,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PBRM1,Q86U86,NP_001381798,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SDHD,O14521,NP_002993,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,,,AFDB,AlphaFold database,False,,
NUP214,P35658,NP_005076,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HLF,Q16534,NP_002117,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
EXT2,Q93063,NP_997005,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ALOX12B,O75342,NP_001130,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NR4A3,Q92570,NP_008912,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GLI3,P10071,NP_000159,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FANCG,O15287,NP_004620,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fancg/,,,AFDB,AlphaFold database,False,,
CDC42BPA,Q5VT25,NP_001352948,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SOCS1,O15524,NP_003736,0,"Joachim Breitenstein (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MAP3K15,Q6ZN16,NP_001001671,0,"Philipp Becker (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PPIAL4H,A0A075B767,NP_001355057,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CCNC,P24863,NP_005181,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
BCR,P11274,NP_004318,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GM2A,P17900,NP_000396,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DEFA4,P12838,NP_001916,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ASPSCR1,Q9BZE9,NP_076988,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PAX7,P23759,NP_001128726,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
POTEE,Q6S8J3,NP_001077007,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG4C,Q96DT6,NP_116241,0,"Mattia Utichi (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FASLG,P48023,NP_000630,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
EP300,Q09472,NP_001420,0,"Ludovica Beltrame (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MARK4,Q96L34,NP_001186796,0,"Matteo TIberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CRLF2,Q9HC73,NP_071431,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FOXO1,Q12778,NP_002006,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
EEF2K,O00418,NP_037434,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/eef2k/,,,AFDB,AlphaFold database,False,,
SFRP4,Q6FHJ7,NP_003005,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
OTX2,P32243,NP_001257452,0,"Anna Melidi (DTU, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SLC25A5,P05141,NP_001143,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATXN3,P54252,NP_004984,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atxn3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RMI2,Q96E14,NP_689521,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DDX3X,O00571,NP_001347,0,"Alberte Heering Estad (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TAOK1,Q7L7X3,NP_065842,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/taok1/,,,AFDB,AlphaFold database,False,,
CSNK1A1,P48729,NP_001883,2,"Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/csnk1a1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FUT3,P21217,,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CELA3B,P08861,NP_031378,2,"Eszter Toldi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cela3b/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FAM136A,Q96C01,NP_116211,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NEK4,P51957,NP_003148,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDC73,Q6P1J9,NP_078805,0,"Anu Oswal (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BTG2,P78543,NP_006754,2,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/btg2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
VCP,P55072,NP_009057,3,"Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/vcp/,,,AFDB,AlphaFold database,False,,
HOXD13,P35453,NP_000514,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CST2,P09228,NP_001313,0,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
POLD2,P49005,NP_001120690,2,"Ludovica Beltrame (DTU, Denmark), Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pold2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ZNF534,Q76KX8,NP_001137411,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FAM8A1,Q9UBU6,NP_057339,2,"Alicia Llorente (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fam8a1/,,,AFDB,AlphaFold database,False,,
ACSL6,Q9UKU0,NP_001392408,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TMEM175,Q9BSA9,NP_115702,3,"Mattia Utichi (DCI, Denmark, DTU, Denmark), Francesca Maselli (DCI, Denmark, IBFM-CNR, Italy)",https://elelab.gitbook.io/mavisp/proteins/tmem175,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GOPC,Q9HD26,NP_065132,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKN2B,P42772,NP_004927,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AMBRA1,Q9C0C7,NP_001373940,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ambra1,5.5,atomic_contacts,Mod,"Homology model (PDB template, reconstruction)",True,8WQR-Mod,
KCNJ18,B7U540,NP_001181887,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SAA2,P0DJI9,NP_110381,0,"Martina Bellini (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MDM2,Q00987,NP_001354919,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LEF1,Q9UJU2,NP_057353,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAD1L1,Q9Y6D9,NP_001013858,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ETFB,P38117,NP_001976,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
KLF6,Q99612,NP_001291,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FES,P07332,NP_001996,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FOXD4L1,Q9NU39,NP_036316,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RUNX2,Q13950,NP_001019801,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FANCL,Q9NW38,NP_060532,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fancl/,,,AFDB,AlphaFold database,False,,
SPOP,O43791,NP_001007229,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
COX6C,P09669,NP_004365,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ALPK1,Q96QP1,NP_001095876,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/alpk-proteins/alpk1/,5.5,atomic_contacts,Mod,"Homology model (PDB template, reconstruction)",True,AFDB-Mod,
EPB41L2,O43491,NP_001422,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ASXL2,Q76L83,NP_060733,0,"Kristine Degn (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDC34,P49427,NP_004350,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdc34/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RAF1,P04049,NP_002871,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CDH11,P55287,NP_001788,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GREM1,O60565,NP_037504,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BIRC5,O15392,NP_001159,0,"Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TSSK1B,Q9BXA7,NP_114417,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MLLT10,P55197,NP_001182555,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ETV5,P41161,NP_004445,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
JAK1,P23458,NP_002218,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ATG16L1,Q676U5,NP_110430,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg16l1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NDUFAF2,Q8N183,NP_777549,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PNP,P00491,NP_000261,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PAH,P00439,NP_000268,0,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
STK11,Q15831,NP_000446,0,"Joachim Breitenstein (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CNBP,P62633,NP_003409,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ART1,P52961,NP_004305,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAP3K4,Q9Y6R4,NP_005913,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",False,Q9Y6R4_cut.B99990001_renum.pdb,
RUNX1,Q01196,NP_001001890,3,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/runx1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
XCL1,P47992,NP_002986,0,"Kristine Degn (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
STK40,Q8N2I9,NP_001269476,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDK19,Q9BWU1,NP_055891,2,"Matteo Tiberti (DCI, Denmark), Simone Scrima (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk-proteins/cdk15,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AKT3,Q9Y243,NP_005456,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CARS1,P49589,NP_001742,2,"Paraskevi Saridaki (DCI, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cars1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRDM2,Q13029,NP_036363,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PRKAA1,Q13131,NP_006242,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GRM3,Q14832,NP_000831,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GSKIP,Q9P0R6,NP_057556,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MRPL50,Q8N5N7,NP_061924,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MCEE,Q96PE7,NP_115990,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ZFP36L1,Q07352,NP_001231627,0,"Anna Melidi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PSG5,Q15238,NP_001123486,2,"Alessia Campo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/psg5/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PIGQ,Q9BRB3,NP_683721,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HSP90AA1,P07900,NP_005339,0,"Martina Bellini (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CSTF2,P33240,NP_001316,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LGALS3,P17931,NP_002297,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IL7R,P16871,NP_002176,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
OTC,P00480,NP_000522,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
GRB2,P62993,NP_002077,2,"Alicia Llorente (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/grb2/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SYN2,Q92777,NP_598328,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ANKRD36,A6QL64,NP_001341516,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EGLN1,Q9GZT9,NP_071334,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDKN1B,P46527,NP_004055,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ANK2,Q01484,NP_001139,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ank-proteins/ank2,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
POT1,Q9NUX5,NP_056265,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
OPTN,Q96CV9,NP_068815,4,"Mattia Utichi (DCI, Denmark, DTU, Denmark), Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/optn/,,,AFDB,AlphaFold database,False,,
RAD51B,O15315,NP_598193,0,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CTLA4,P16410,NP_005205,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
INSR,P06213,NP_000199,0,"Kristine Degn (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CCL4L2,Q8NHW4,NP_996890,0,"Laura Kappel (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NDRG1,Q92597,NP_001128714,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CFAP410,O43822,NP_004919,4,"Francesca Maselli (DCI, Denmark, IBFM-CNR, Italy)",https://elelab.gitbook.io/mavisp/proteins/cfap410/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ERCC2,P18074,NP_000391,0,"Matteo Tiberti (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MPL,P40238,NP_005364,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HIPK4,Q8NE63,NP_653286,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TLK1,Q9UKI8,NP_036422,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ADCK5,Q3MIX3,NP_777582,1,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/adck-proteins/adck5,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CTCF,P49711,NP_006556,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
STK19,P49842,NP_004188,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
WEE2,P0C1S8,NP_001099028,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TSC1,Q92574,NP_000359,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HDAC8,Q9BY41,NP_060956,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
IGFN1,Q86VF2,NP_001354770,0,"Lorenzo Favaro (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PARP4,Q9UKK3,NP_006428,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PIK3CB,P42338,NP_006210,2,"Amalie Drud Nielsen (DCI, Denmark, DTU, Denmark), Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/acvr-proteins/pik3cb,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PAK6,Q9NQU5,NP_001122100,0,"Eirini Giannakopoulou (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BMP4,P12644,NP_001193,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PABPC3,Q9H361,NP_112241,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDK14,O94921,NP_001274064,2,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark), Jeremy Vinhas (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk-proteins/cdk14,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCL2L13,Q9BXK5,NP_056182,0,"Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
G6PC3,Q9BUM1,NP_612396,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NBR1,Q14596,NP_005890,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SUFU,Q9UMX1,NP_057253,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AHR,P35869,NP_001612,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ahr,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PDGFRA,P16234,NP_006197,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,Mod,"Homology model (PDB template, reconstruction)",False,P16234_cut.B99990001_renum.pdb,
PRSS1,P07477,NP_002760,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GPC4,O75487,NP_001439,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
IL4,P05112,NP_000580,2,"Kristine Degn (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/il4/,,,AFDB,AlphaFold database,False,,
TP53BP1,Q12888,NP_005648,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CTSE,P14091,NP_001901,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
